class,base_importance,hand_sensitive,x_weight,y_weight,korean_name
bag,0,False,0,0,가방
books,4,False,2,2,책
bookshelf,2,False,1,1,책꽂이
calendar,2,False,1,1,달력
correction-tape,2,True,1,1,수정테이프
cosmetic,1,False,1,1,화장품
drink,1,True,1,2,음료
earphone,2,False,1,2,이어폰
eraser,2,True,1,1,지우개
food,1,False,1,1,음식
gamepad,2,False,1,1,게임패드
glasses,2,False,1,1,안경
glue,2,True,1,2,풀
goods,2,False,1,1,굿즈
headset,2,False,1,1,헤드셋
keyboard-pc,4,False,3,2,키보드
laptop,3,False,2,2,노트북
mic-pc,2,False,1,1,마이크
monitor-pc,2,False,3,1,모니터
mouse-pc,2,True,2,2,마우스
organizer,2,False,2,1,수납함
paper,2,False,2,1,종이
pen,2,True,2,2,펜
pen holder,2,True,1,1,연필꽂이
pencil case,2,True,1,1,필통
phone,2,False,1,1,폰
photo,2,False,1,1,사진
post-it,1,True,2,1,포스트잇
ruler,2,True,1,1,자
scissors,2,True,1,1,가위
snack,1,False,1,1,간식
speakers-pc,2,False,2,1,스피커
stapler,2,True,1,1,스테이플러
stopwatch,2,False,1,1,스톱워치
tablet-pc,3,False,2,1,태블릿pc
tape,2,True,1,1,테이프
tissue,1,False,1,1,휴지
tower-pc,2,False,1,1,본체
trash,0,False,0,0,쓰레기
watch,2,False,1,1,시계
